STIDSTD,Gender,ESCS,MATH_avg_score,READ_avg_score,SCIE_avg_score,Total_Avg
1,Male,-0.99,670.3614,600.15744,657.53452,642.6844533
2,Male,0.74,712.26826,661.66664,670.96232,681.6324067
3,Female,0.52,640.45022,650.4645,606.62066,632.5117933
4,Female,0.55,768.50756,712.1824,683.83066,721.5068733
5,Male,-0.72,756.66768,665.59616,686.25512,702.8396533
6,Female,-0.49,709.93146,661.42598,651.65984,674.3390933
7,Female,0.24,773.18118,715.43908,698.65722,729.0924933
8,Male,1.06,742.17948,617.31906,684.94964,681.4827267
9,Male,-0.24,750.6699,590.8549,646.25138,662.59206
10,Female,0.58,789.46096,728.46578,679.91422,732.6136533
11,Male,-0.81,756.27822,677.06396,695.39352,709.5785667
12,Female,-1.19,655.87318,635.13432,634.4088,641.8054333
13,Female,0.77,683.52546,661.42602,636.46028,660.4705867
14,Female,-1.07,700.03896,668.89248,648.02312,672.3181867
15,Male,0.66,653.92582,599.75646,608.29914,620.6604733
16,Female,0.16,796.70508,731.96072,697.53824,742.0680133
17,Male,-1.82,716.7861,646.26928,651.65982,671.5717333
18,Male,-0.2,686.56334,622.7723,652.49906,653.9449
19,Female,-0.98,762.35394,701.06204,666.57964,709.99854
20,Female,0.4,676.98242,654.5155,673.10706,668.20166
21,Female,-0.29,547.67878,498.43352,509.45544,518.52258
22,Female,1.08,666.62252,624.80828,611.65608,634.3622933
23,Male,0.27,624.94934,624.93754,615.19956,621.69548
24,Female,0.81,703.85576,659.91678,633.10334,665.6252933
25,Male,0.2,790.5515,706.81614,697.53824,731.6352933
26,Male,1.24,673.08772,616.27654,631.79784,640.3873667
27,Male,-0.65,780.81478,703.04698,696.41924,726.7603333
28,Female,-1.05,722.31656,697.8054,676.37078,698.8309133
29,Female,-0.15,684.22652,697.88482,672.36108,684.82414
30,Male,-1.01,643.2544,646.34948,621.82022,637.1413667
31,Female,0.48,738.67422,680.48942,674.1328,697.76548
32,Male,-0.53,665.7657,594.38346,613.61432,624.5878267
33,Female,-0.58,756.97928,696.85222,673.85304,709.22818
34,Male,0.38,692.1717,637.44788,636.46026,655.3599467
35,Female,-0.64,591.22134,519.64164,526.24022,545.7010667
36,Female,-0.71,653.53638,604.3945,631.98434,629.97174
37,Female,-0.48,620.66522,563.4081,598.32152,594.1316133
38,Female,0.49,686.64122,619.48638,619.489,641.8722
39,Female,0.41,729.71648,632.91024,686.8146,683.1471067
40,Female,-0.87,672.62034,615.43542,617.90378,635.3198467
41,Male,1.14,676.35924,577.302,660.51846,638.0599
42,Male,-0.61,650.10906,544.9034,593.75234,596.2549333
43,Male,-0.82,645.43542,542.09662,599.72024,595.75076
44,Female,-1.19,652.91322,590.09692,594.21856,612.4095667
45,Female,0.34,601.11388,553.87638,589.4629,581.4843867
46,Female,0.75,638.5029,552.84378,567.36292,586.2365333
47,Male,0.07,630.24614,538.16708,608.6721,592.3617733
48,Male,-0.6,548.61348,537.20476,577.52706,554.4484333
49,Female,0.86,623.15782,570.95406,623.96494,606.0256067
50,Male,-1.25,618.79574,551.31898,599.81348,589.9760667
51,Female,0.83,680.7992,594.30678,606.62066,627.2422133
52,Female,-0.3,613.42108,568.49168,619.489,600.4672533
53,Female,0.79,645.43544,573.5753,597.10928,605.37334
54,Male,-0.93,657.58686,578.02374,608.57888,614.7298267
55,Male,-0.29,660.07946,559.09784,620.88772,613.3550067
56,Male,0.71,699.26,588.04806,655.48302,647.5970267
57,Male,-0.89,635.30924,546.18654,583.58822,588.3613333
58,Male,0.67,677.68344,579.2267,604.10296,620.3377
59,Female,-1.07,649.71958,588.27004,638.978,625.6558733
60,Female,-0.25,632.42714,584.53676,605.68818,607.5506933
61,Male,-0.68,644.26704,582.83544,570.90638,599.3362867
62,Male,-0.42,683.3697,626.14044,686.16188,665.2240067
63,Male,-0.84,690.45802,606.17202,667.5121,654.7140467
64,Male,-0.04,727.06808,626.62162,684.39014,679.3599467
65,Female,0.44,660.23522,603.36192,618.18352,627.26022
66,Female,-0.02,711.723,656.02468,660.89146,676.2130467
67,Female,-1.21,701.90838,610.2724,641.4957,651.2254933
68,Male,-0.48,666.23306,557.65436,620.51472,614.8007133
69,Female,1.02,747.78784,700.6649,707.9821,718.8116133
70,Female,0.8,570.96898,556.33876,566.71018,564.67264
71,Female,1.09,628.06512,632.35422,630.86534,630.4282267
72,Male,0.1,721.6934,629.02746,657.06828,669.2630467
73,Male,0.36,797.48402,684.44186,694.92726,725.6177133
74,Female,0.73,669.89406,646.6518,626.29616,647.6140067
75,Female,0.45,554.7671,555.30614,547.12796,552.4004
76,Female,1.19,608.2022,597.9606,606.90044,604.3544133
77,Male,0.38,688.66644,671.0494,677.583,679.0996133
78,Male,1.04,681.88972,619.24372,668.72436,656.6192667
79,Female,0.67,728.47014,649.82906,680.19394,686.16438
80,Female,0.96,722.31654,670.32224,666.1134,686.2507267
81,Female,-0.35,712.11248,703.76272,701.36144,705.7455467
82,Female,0.33,590.90978,607.49232,639.07124,612.4911133
83,Male,-0.03,700.66208,633.43818,670.21636,668.10554
84,Female,-0.59,641.93022,635.53146,619.116,632.19256
85,Male,-0.56,707.51674,643.62286,683.92392,678.3545067
86,Male,-0.78,782.06108,678.34712,727.19134,729.1998467
87,Female,0.99,631.25876,638.31156,648.20962,639.25998
88,Male,0.52,727.22386,647.4722,662.38342,679.0264933
89,Male,1.17,637.56816,574.33482,627.60166,613.1682133
90,Male,-0.02,636.6334,597.35064,617.99702,617.32702
91,Male,-0.18,709.69776,683.63992,687.56062,693.6327667
92,Female,0.48,639.67128,641.4888,620.14172,633.7672667
93,Female,0.28,662.33838,674.2938,667.04588,667.8926867
94,Male,-0.76,611.7853,568.3202,548.06042,576.0553067
95,Male,0.97,713.90404,613.46974,631.1451,652.8396267
96,Female,0.95,645.20174,624.56998,631.61134,633.7943533
97,Male,-0.07,753.31828,692.7019,705.93062,717.3169333
98,Female,-0.03,604.30754,631.95708,579.765,605.3432067
99,Female,-1.06,679.08552,603.12362,628.34764,636.85226
100,Female,-0.59,580.08258,569.44488,558.13128,569.21958
101,Female,0.44,689.3675,649.98792,639.63076,659.66206
102,Male,-2.29,469.55132,406.88868,553.84184,476.7606133
103,Female,-1.18,598.3097,593.75078,599.53374,597.1980733
104,Female,-2.28,588.10564,536.08384,527.82544,550.67164
105,Male,-2.72,405.05528,382.83034,427.3965,405.09404
106,Male,-1.99,464.64402,463.74658,498.07906,475.4898867
107,Female,-1.38,558.58392,553.08208,537.98954,549.88518
108,Female,-1.18,556.87024,550.858,543.2115,550.3132467
109,Female,-1.62,371.3273,443.46728,401.10034,405.2983067
110,Male,-0.71,572.37108,514.91068,564.0992,550.46032
111,Female,-2.58,316.41222,315.74222,359.04512,330.3998533
112,Male,0.23,589.04036,553.64464,614.08058,585.5885267
113,Female,-1.09,566.68482,556.57704,552.53638,558.5994133
114,Male,-1.28,645.12386,608.3373,602.51772,618.6596267
115,Female,-0.87,631.0251,595.81596,614.64004,613.8270333
116,Male,-1.81,565.90592,472.88874,547.31444,528.7030333
117,Female,-1.59,457.47782,491.04646,470.94366,473.15598
118,Female,-0.41,612.40844,573.0987,593.65908,593.0554067
119,Male,-2.33,379.27248,361.4184,357.45992,366.0502667
120,Female,-0.77,628.22092,555.70332,601.30548,595.0765733
121,Male,-1.8,618.87368,545.14402,569.0414,577.6863667
122,Female,-2.39,418.29726,474.84254,450.98842,448.04274
123,Female,-2.29,388.07446,458.3209,417.32562,421.2403267
124,Male,-1.39,748.72256,611.70548,645.78516,668.7377333
125,Female,-1.58,556.2471,549.66656,557.47854,554.4640667
126,Male,-0.64,477.96386,473.8511,513.46512,488.4266933
127,Male,-2.24,329.73204,379.54232,380.58562,363.28666
128,Male,-2.54,620.66522,592.77956,583.40172,598.9488333
129,Female,-1.27,621.9894,565.39388,565.49796,584.2937467
130,Male,-0.53,617.70526,569.12216,589.74264,592.19002
131,Male,-0.36,480.14488,475.37476,512.6259,489.3818467
132,Female,0.37,537.08522,520.75364,510.29466,522.7111733
133,Female,0.1,552.74186,535.92498,544.88998,544.51894
134,Female,-1.04,687.80962,633.14854,631.23834,650.7321667
135,Male,-0.08,567.38588,517.79768,527.07946,537.4210067
136,Female,-1.81,568.63218,533.78034,540.41404,547.6088533
137,Male,-0.93,478.11964,425.574,464.69602,456.1298867
138,Male,-1.65,478.27544,449.23136,500.87654,476.12778
139,Male,0.18,598.93286,552.76248,569.69414,573.7964933
140,Female,-0.92,451.24632,463.16618,495.09512,469.8358733
141,Male,-1.17,517.92334,480.42704,520.83178,506.3940533
142,Male,-1.12,524.31062,453.0005,510.20142,495.8375133
143,Female,-0.52,578.13524,554.03524,554.58784,562.2527733
144,Female,-0.63,451.47998,457.36772,506.28494,471.71088
145,Male,-0.88,524.07696,490.13058,489.03396,501.0805
146,Male,0.39,648.0838,554.3664,581.53672,594.6623067
147,Male,-0.5,518.00126,461.26056,482.7863,487.3493733
148,Female,-0.96,626.50724,550.61972,557.66504,578.264
149,Female,-1.19,580.70574,563.16984,563.63296,569.1695133
150,Female,-0.26,495.10046,508.91844,517.94108,507.3199933
151,Male,0.35,683.68124,572.41012,584.3342,613.4751867
152,Male,-0.28,576.10998,521.647,553.09586,550.28428
153,Male,-0.66,635.6987,583.71756,590.7684,603.3948867
154,Female,-0.53,512.5487,512.65168,504.69974,509.9667067
155,Female,0.08,608.35802,531.31798,530.8094,556.8284667
156,Male,-1.24,556.09128,501.3578,561.022,539.49036
157,Male,0.83,523.60962,496.06498,517.47482,512.38314
158,Male,-1.59,525.47904,485.63968,511.3204,507.4797067
159,Male,-0.33,557.96074,539.12942,546.38196,547.82404
160,Male,-1.26,625.26094,515.07104,584.05446,574.79548
161,Female,-0.87,442.3664,482.30904,422.82728,449.1675733
162,Male,0.05,504.8372,496.9471,514.30436,505.3628867
163,Male,-0.89,609.13694,540.8937,552.81612,567.6155867
164,Female,-0.87,526.64746,515.19348,499.4778,513.7729133
165,Female,-0.62,643.41018,580.16806,551.4174,591.6652133
166,Male,0.34,453.27154,409.69548,454.99814,439.32172
167,Male,-0.73,567.38586,540.8135,567.82916,558.6761733
168,Male,-0.61,619.4189,536.88398,573.14434,576.4824067
